Case Name,Country,Jurisdiction,District (plus level/it's hierarchy),Language,Date,Creative Commons Involvement (if any),License (if any),Version,Ported or generic,Type of Work,Issue,Case #,Links,Notes,Blurb (original Blurb/summary),Blurb,Overview,Background,Summary,Result,CC Implication,Contributor,Publish
Linchôdmapwa v L'asbl Festival de Theatre de Spa,Belgium,Belgium,Le Tribunal de Premiere Instance (court of first instance),French,2010-10-28,,CC BY-NC-ND,2. 0,Ported,Musical work,Violation of CC BY-NC-ND,09-1684-A,https://wiki.creativecommons.org/images/f/f6/2010-10-26_A%27cision-trib.-Nivelles-Lichodmapwa.pdf,,Belgian court found a theater company liable for violating the CC BY-NC-ND license on a musical work. (CC BY-NC-ND 2.0 Belgium),Plaintiff alleged a musical work licensed under CC BY-NC-ND was used by a theatre company in an advertisement in violation of all three terms of the license.,"BACKGROUND In 2004, the Belgian band Lichôdmapwa released the song “Abatchouck” under CC BY-NC-ND 2.0 Belgium license. Several years later, one of the band members heard 20 seconds of the 3 minute and 20 second song on an advertisement for a theater and festival company. Lichôdmapwa contacted the theater company to see if they could negotiate a deal. The negotiations failed and Lichôdmapwa sued the theater company for copyright infringement in September of 2009.

SUMMARY Lichôdmapwa claimed the theater company had violated all three of the terms of their chosen CC license. The theater had modified the original work to make it fit in the commercial, violating the No Derivatives provision. The theater violated the Non-Commercial clause by using the work in an advertisement. And the theater violated the Attribution requirement by not including any mention of the song’s artist in the commercial.

The band asked for 10,380 Euros in damages, plus to have the theater pay for the publication of the court’s judgment in a magazine called “Dogmagazine.”
The theater company attempted to claim ignorance, arguing that it was unaware of the terms of the license. It appears the theater also argued that since Lichôdmapwa is not a member of the Belgian collecting society, SABAM, the band had no rights to collect payments for the music’s use.
Judge Vandeput did not agree with the theater company’s defenses. She recognized the validity of Creative Commons licenses. She also confirmed that the musicians’ decision to not join SABAM and instead release their music more openly should not prevent enforcement of the license.

As to the theater company’s claim of ignorance, Judge Vandeput found that this was no excuse for violating the license. As an organizer of festivals and a company involved in using licensing, the company should have known to look for and follow the terms of the license. In addition, the website from which the theater downloaded the music, http://www.dogmazic.net, clearly mentions the terms of the license. There was no reason for the theater company not to know about the license or its terms.
RESULT Even though the band is not part of SABAM, the court held that they suffered damages. The Judge awarded the band 1,500 Euros per license term violated, 4,500 Euros in total.","In 2004, the Belgian band Lichôdmapwa released the song “Abatchouck” under CC BY-NC-ND 2.5 Belgium license. Several years later, one of the band members heard a portion of the song in an advertisement for a theater festival run by a nonprofit organization. Lichôdmapwa contacted the organization to see if they could negotiate a deal. The negotiations failed, and Lichôdmapwa sued the organization for copyright infringement in September 2009.","Lichôdmapwa claimed the defendant violated all three conditions of the applicable CC license. The defendant had modified the original work, used the work for commercial purposes, and failed to provide attribution. The defendant claimed it had acted in good faith, arguing that it was unaware of the terms of the CC license. The defendant also argued that since the plaintiff was not a member of the Belgian collecting society, SABAM, they had no rights to collect payments for use of the music.  The court recognized the validity of the Creative Commons license applied to the music, and held that the plaintiff’s decision not to join SABAM and instead to release their music more openly should not prevent them from enforcing their copyright. The court held that the good faith of the defendant was not an excuse for violating the license. As a festival organizer regularly involved in licensing, the court said the defendant should have known to look for and follow the terms of the license. In addition, the court noted that the website from which the theater downloaded the music, http://www.dogmazic.net, clearly mentions the CC license.","On October 28, 2010, the court awarded the plaintiff 1,500 Euros per license condition violated, 4,500 Euros in total.",The court specifically addressed and upheld the validity and enforceability of the CC license applied to the work at issue.,,Publish
Chang v Virgin Mobile and Creative Commons,United States,US (Texas),Northern Distict of Texas,English,2009-01-16,Defendant,CC BY-NC-ND,2. 0,Generic,Photograph,Attribution,,https://law.justia.com/cases/federal/district-courts/texas/txndce/3:2007cv01767/171558/68/,,Flickr photo licensed under CC BY 2.0 unported used in an Australian phone advertisement,Plaintiff alleged a photograph licensed under CC BY was used by a commercial advertiser without proper attribution and in violation of the privacy rights of individual depicted in the photograph.,"BACKGROUND
An Australian mobile company used a Flickr photo of a minor subject licensed under CC BY 2.0 unported as part of its advertising campaign launched in 2007. In September 2007, Plaintiffs brought suit against the mobile company under a number of causes of action, including invasion of privacy, copyright infringement and breach of contract. They also brought suit against Creative Commons alleging CC had negligently failed to sufficiently warn creators that CC licenses only address copyright and not privacy and publicity rights.

SUMMARY
Plaintiffs voluntarily dismissed CC from the lawsuit in November 2007. In January 2009, the Texas district court dismissed the case against the mobile company for lack of personal jurisdiction.

RESULT
Creative Commons licenses only address the creator's copyright. It does not affirmatively affect publicity or privacy rights. Users of CC-licensed material should make sure to clear the publicity and privacy rights of any works containing human subjects before reusing CC-licensed works.","Virgin Mobile, an Australian mobile device company, used a Flickr photo of a minor licensed under a CC BY 2.0 license as part of an advertising campaign it launched in 2007.  The plaintiff alleged that Virgin violated the attribution requirements of the license, and that CC had not sufficiently warned licensors that publicity rights were not included under the license.","In September of 2007, the plaintiffs brought suit in U.S. District Court in the Northern District of Texas against the mobile company under a number of causes of action, including invasion of privacy, copyright infringement, and breach of contract. They also made a claim against Creative Commons alleging that Creative Commons had failed to sufficiently warn creators that the do not cover privacy and publicity rights.","Plaintiffs voluntarily dismissed Creative Commons from the lawsuit in November 2007. In January 2009, the federal district court in Texas dismissed the case against the mobile company for lack of personal jurisdiction.","Given that the court dismissed the case on jurisdictional grounds, the court did not get to interpretation or enforcement of the CC license at issue.",,Publish
Curry v Audax,Netherlands,Netherlands,Unknown,Dutch,2006-03-09,,CC BY-NC-SA,2. 0,Generic,Photograph,Attribution,334492/KG 06-176 SR,https://wiki.creativecommons.org/wiki/File:Curry-Audax-English.pdf,Case File needs to be more visible and aptly named,Dutch court upheld CC BY-NC-SA 2.0 unported license when Flickr photos were used in a tabloid,Plaintiff alleged a photograph licensed under CC BY-NC-SA was used by a commercial advertiser without proper attribution.,"BACKGROUND
Adam Curry, a former MTV VJ and one of the pioneers of podcasting, published photos onto his Flickr account under a BY-NC-SA license (BY-NC-SA 2.0 unported).
A Dutch tabloid reprinted four of the photos in a story about the Curry family's public persona verses real private life
Curry sued the tabloid for violating the portrait rights of his family and for copyright violation over the improper user of his Flickr photos.
Curry argued that the tabloid violated the BY-NC-SA license by using the photos in a commercial magazine and by not including a reference to the CC license.
The tabloid argued that it thought the photos could be taken and used because they were marked as ""public"" on Flickr. It also argued that in terms of compensation, the photos had no value because they were available for anyone to view online.
SUMMARY
The Dutch court held that, in the future, the tabloid could not use any of the photos from Flickr in the future unless under the terms of the photos' CC license or with permission from Curry.
Several years later, a different tabloid published some of Curry's CC-licensed photos in an article about him, but the parties settled outside of court.
RESULT
Curry's case was the first lawsuit that ever focused specifically on Creative Commons  licenses. The victory on the copyright claims demonstrates and set the precedent that Creative Commons licenses are enforceable in court under copyright law.","Adam Curry, a former MTV VJ and one of the pioneers of podcasting, published photos onto his Flickr account under a BY-NC-SA 2.0 license. A Dutch tabloid reprinted four of the photos in a story about the Curry family. Curry sued the tabloid for violating his privacy rights and for copyright infringement.","Curry argued that the tabloid violated the BY-NC-SA license by using the photos in a commercial magazine and by not including proper attribution to the CC license. The tabloid argued that it thought the photos could be taken and used because they were marked as ""public"" on Flickr. It also argued that in terms of compensation, the photos had no value because they were available for anyone to view online.","On March 9, 2006, the Dutch court held that the tabloid had violated the CC license on the images by failing to attach a notice about the license and for using the images in a commercial magazine. However, the court did not award damages to the plaintiff because they could not prove harm. The court held that defendant could not use any of the photos from Flickr in the future unless they comply with the terms of the CC license or with permission from the plaintiff.",The court specifically addressed and upheld the validity and enforceability of the CC license applied to the works at issue.,,Publish
Drauglis v Kappa Map Group,United States,US (DC),Unknown,English,2015-08-18,,CC BY-SA,2. 0,,Photograph,Violation of CC BY-SA,,https://cases.justia.com/federal/district-courts/district-of-columbia/dcdce/1:2014cv01043/166825/39/0.pdf?ts=1439987006,No case files here (cite to Jacobsen,"Atlas company's inclusion of a CC-BY-SA 2.0 photograph on the cover of an atlas did not violate the CC license. The atlas was a compilation not a derivative work, so did not need to be licensed under the SA term, and attribution on back cover was appropriate under the BY term.","Atlas company's inclusion of a CC-BY-SA 2.0 photograph on the cover of an atlas did not violate the CC license. The atlas was a compilation not a derivative work, so did not need to be licensed under the SA term, and attribution on back cover was appropriate under the BY term.",,A map publisher used plaintiff’s CC-licensed Flickr photo on the cover of its commercially available atlas. The attribution and license information for the photo were included on the back cover of the atlas. Plaintiff sued for copyright infringement and asserted a DMCA Section 1202 claim for distribution of false copyright management information.,"Plaintiff alleged copyright infringement based on three different factors: (1) failure to comply with the ShareAlike condition, (2) failure to provide proper notice of the CC license, and (3) failure to give proper attribution.","On August 18, 2015, the district court of D.C. granted summary judgment to defendant holding that: (1) the ShareAlike condition was not violated because the atlas was not a derivative work of the plaintiff’s photograph; (2) providing the license name was sufficient to satisfy the obligation to provide the URI of the license; and (3) attribution that was comparable in prominence to the attribution given to individual maps in the atlas was sufficient for purposes of fulfilling CC license attribution requirements. The court also dismissed the Section 1202 claim on summary judgment.","The court specifically addressed and upheld the validity and enforceability of the CC license applied to the works at issue, interpreting and applying the ShareAlike and attribution conditions in some detail.",,Publish
Gerlachs v DVU,Germany,Germany,District Court of Berlin,German,2010-10-08,,CC BY-SA,3. 0,Generic,Photograph,Attribution,16 O 458/10,https://creativecommons.org/2011/09/15/creative-commons-attribution-sharealike-license-enforced-in-germany/,"English translation needs to be fixed, the link is broken, files need to be clearer, and more descriptive",German court upheld CC BY-SA 3.0 unported and granted an injunction against improper use of a photo,Plaintiff alleged a photograph under CC BY SA license was used on a website violating the terms of the CC license.,"BACKROUND

In summer of 2010, the applicant took a picture of the German politician Thilo Sarrazin at a public event and published it online under the Creative Commons license BY SA 3.0 Unported. Later the DVU, a German political party used the picture on their website without the plaintiff's name, the license notice or any other requirement of the license. The applicant sent a notice and takedown letter to which the party didn't react. Subsequently the applicant sought preliminary injunction before the Disctrict Court of Berlin against the unauthorized publication of the picture.
SUMMARY

The District Court of Berlin granted the injunction because the applicant had successfully established prima-facie evidence of authorship, of the licensing and of the breach of the license, thus triggering the right to injunction following from s. 97 ss. 1 in combination with s. 19a Urheberrechtsgesetz (German copyright code).

RESULT

It needs to be noted that there are two levels of evidence under German procedural law: a) probably true, b) proven. For a preliminary injunction one only needs to establish the lesser one a).

Nevertheless, the basic message of this ruling is that the fallback to regular copyright interdiction actually works, because a breach of the license terms leaves the user with no licensed right to use the work. IS THIS NECESSARY INFORMATION? 

This is the first German ruling where from the court's point of view it seems to go without saying that the licensing via notice etc. is valid and thus a CC license has an effect. Even more importantly the ruling suggests that honouring the license terms would have made the use legal, although that was not at the core of the case","In the summer of 2010, the plaintiff took a picture of the German politician Thilo Sarrazin at a public event and published it online under a Creative Commons ShareAlike license. Later the DVU, a German political party, used the picture on their website without the plaintiff's name, the license notice, or a link to the original work.","[CC note: This summary was not verified through an official English translation.]
The photographer sent a takedown notice to the political party, which was ignored. Subsequently, the photographer sought an injunction preventing the DVU from continuing to use the photograph.",The court ruled that the DVU’s use was not in compliance with the CC license and granted the injunction.,"The court assumed that the CC license was valid and enforceable, ruling that a breach of the license terms leaves a reuser with no right to use the copyrighted work.",,Publish
Internet Brands v Holliday,United States,US (CAL),US District Court of the Central Disctrict of California,English,2012-11-19,,CC BY-SA,,,Ownership of Wiki material,,,https://upload.wikimedia.org/wikipedia/foundation/f/ff/2012-11-19_D18_Order_re_Special_Mtn_to_Strike_and_Mtn_to_Dismiss.pdf,"Files need to be clear and descriptive, not linked in text",Litigation involving ownership of wiki material contributed by a broad community and licensed under CC BY-SA. At no point in either case was the validity of the CC license contested.,A dispute concerning the ownership of Wiki Material licensed under CC BY-SA. The material was contributed by a broad community of users.,"The original lawsuit: (Internet Brands v. Holliday et. al.)
BACKGROUND
Wikitravel is a community-based wiki run by a for-profit entity, Internet Brands. In 2012, some members of the Wikitravel community joined forces with those engaged in Wikivoyage (a project started by former Wikitravel editors) to approach the Wikimedia Foundation about hosting a new travel wiki. After undergoing its standard process for community debate and input, Wikimedia ultimately decided to move forward with the project.

In the meantime, Internet Brands brought suit against two Wikitravel editors who were also members of the Wikimedia community, alleging trademark infringement, unfair competition, and civil conspiracy to take away Wikitravel's web traffic.

SUMARRY 

After Internet Brands agreed to dismiss their unfair competition claim, the U.S. District Court for the Central District of California dismissed the remainder of the claims for lack of subject matter jurisdiction.

The associated lawsuit: (Wikimedia Foundation v. Internet Brands)

In response to Internet Brands' lawsuit against members of its community, Wikimedia filed its own complaint against Internet Brands in California state court, alleging that the purpose of the lawsuit filed by Internet Brands was solely to intimidate Wikitravel editors from leaving Wikitravel. Among other things, Wikimedia asked for declaratory judgment that Internet Brands does not have ownership in the Wikitravel content or the right to restrict the use of the Wikitravel content in any way other than as required by the terms and conditions of the Creative Commons BY-SA license, under which all of the Wikitravel content is licensed.
RESULT
Still pending. In December 2012, the Court overruled the demurrer (i.e. motion to dismiss) filed by Internet Brands.","Wikitravel was a wiki founded in 2003, allowing volunteer authors to add and edit content related to worldwide travel and tourism. All content on the site was published under a Creative Commons ShareAlike license. In 2005, the domain name was purchased by Internet Brands, a for-profit company. In 2012, a group of volunteer site administrators and authors approached the Wikimedia Foundation about making a new travel-oriented wiki, which would incorporate some of the content from Wikitravel owned by contributors.","Internet Brands filed a lawsuit against two of those Wikitravel editors, asserting trademark infringement, unfair competition, and civil conspiracy.",Internet Brands dismissed their claims.,There were no judicial rulings involving the interpretation or enforcement of CC licenses.,,Publish
Wikimedia Foundation v Internet Brands,United States,US,Superior Court of California,English,1905-07-05,,CC BY SA,,,Rights to conternt,Who has the right to content or a right to restrict content on a Wiki page?,CGC-12-523971,https://wikimediafoundation.org/wiki/File:WMF_complaint_for_declaratory_judgement_September_2012.pdf,"Needs to link back to internet brands v holliday somehow, the two are closely related/associated lawsuits",,,,"Wikitravel was a wiki founded in 2003, allowing volunteer authors to add and edit content related to worldwide travel and tourism. All content on the site was published under a Creative Commons ShareAlike license. In 2005, the domain name was purchased by Internet Brands, a for-profit company. In 2012, a group of volunteer site administrators and authors approached the Wikimedia Foundation about making a new travel-oriented wiki, which would incorporate some of the content from Wikitravel owned by contributors.","Internet Brands filed a lawsuit against two of those Wikitravel editors, asserting trademark infringement, unfair competition, and civil conspiracy. The Wikimedia Foundation then filed this declaratory judgment action against Internet Brands in California state court, requesting a judicial determination that they have the right to start the proposed new travel wiki and incorporate content from Wikitravel under the terms of the CC license.","After Internet Brands agreed to dismiss their unfair competition claim, the U.S. District Court for the Central District of California dismissed the remainder of Internet Brand’s claims for lack of subject matter jurisdiction. Wikimedia and Internet Brands settled their state court dispute.",There were no judicial rulings involving the interpretation or enforcement of CC licenses.,,Publish
Jacobsen v Katzer,United States,US,United States Court of Appeals for the Federal Cicuirt,English,2010-02-22,Amicas Brief,Artistic license (not a CC license),,,Computer Software,Are public licenses contracts or licenses?,,https://wiki.creativecommons.org/images/9/98/Jacobson_v_katzer_fed_cir_ct_of_appeals_decision.pdf,,"Open source software case involving the Artistic License, involving alleged violation of the license that results in copyright infringement rather than contract violation",Open source software case involving the Artistic License. Plaintiff alleged violation of the license results in copyright infringement rather than contract violation.,,The plaintiff created software code and published it under an open source license called the Artistic license. Defendant incorporated the code into its commercial software without complying with the terms of the Artistic license. Plaintiff sued for copyright infringement.,"The district court held that the license was “intentionally broad” and unlimited in scope and therefore did not create liability for copyright infringement. On that basis, they denied the motion for preliminary injunction. Plaintiff appealed to the Federal Circuit Court of Appeals.","The Federal Circuit Court of Appeals vacated the district court decision and remanded the case. The court held that the restrictions in the license were conditions rather than contractual covenants, meaning that violating them constituted copyright infringement.","This ruling was the first known case of a court specifically upholding the fundamental design of open source licensing as licenses, not contracts, meaning that any use outside the scope of the licenses constitutes copyright infringement.",,Publish
No. 71036 v Newspaper,Israel,Israel,Jerusalem Court (private tribunal),Hebrew,2011-09-27,,CC BY-SA,,,Photograph,Attribution,71036,https://wiki.creativecommons.org/images/3/3f/Psak_Din.pdf (no English translation available),License version is unclear. Link wiht the google translation is a downloadable word file only,Photographer who used BY-SA licenses on his photographs had some photographs used in a Newspaper. The newspaper did not provide proper attribution. The newspaper had also used Wikipedia text without proper attribution.,Plaintiff alleged a photograph licensed under CC BY-SA was used by a Newspaper who violated the terms of the license.,"This case was decided by a private Rabbinical Tribunal. Thus, it is not an official Israeli court opinion.

[Please note: This summary is based on a google translation of the original Hebrew text. As such, it may contain errors.]
BACKGROUND
Newspaper used some of Photographers photos in an issue of the newspaper without proper attribution. Photographer contact Newspaper about the omission. Newspaper offered Photographer 400 Sheqels, the price they would have paid a photographer to take a similar photo. Newspaper also corrected their copyright policy going forwards. Photographer did not accept the 400 Sheqel offer and brought suit for copyright infringement.
SUMMARY 
The court first asked the parties to come to an agreement, which they were not able to do.

The court, being a Rabbinical court, analyzed the case under both the Torah and the Israel Copyright Act. The court held that there is a religious obligation (probably ""moral"" if better translated) to comply with the attribution terms of the CC licenses. The court found the Newspaper's offer of 400 Sheqel to be below the value of the benefit the Newspaper had received from using the photo and noted that the Israel copyright act provides for damages up to 100,000 Sheqel.
RESULT
The court found for the photographer and awarded a sum of 3,500 Sheqel.","A newspaper used several CC-licensed photos in an issue of the newspaper without proper attribution. The photographer contacted the newspaper about the omission, and the newspaper offered the photographer 400 Sheqels, which was the price they said they would have paid a photographer to take a similar photo. The photographer did not accept the offer and brought suit for copyright infringement.","[CC note: this summary is based on a google translation of the original Hebrew text]

This case was decided by a private Rabbinical Tribunal. Thus, it is not an official Israeli court opinion. The court first asked the parties to come to an agreement, which they were not able to do. As a Rabbinical court, the court analyzed the case under both the Torah and the Israel Copyright Act. The court held that there is a religious or moral obligation to comply with the attribution terms of the CC licenses. The court found the Newspaper's settlement offer to be below the value of the benefit the Newspaper had received from using the photo and noted that the Israel copyright act provides for damages up to 100,000 Sheqel.","The court found for the photographer and awarded a sum of 3,500 Sheqel.",The court interpreted and enforced the CC license at issue in the case.,,Publish
SGAE v Fernandez,Spain,Spain,Lower Court of number siz of Badajoz (trial court),Spanish,2006-02-17,,Unknown,,,Music performances,,No 15/2.006,http://www.internautas.org/archivos/sentencia_metropoli.pdf (no English translation available),"Unclear what type of license and version, files needs to be labelled more clearly",Spanish court dismissed suit by a collecting society when bar owner could prove was playing CC licensed music,At issue was whether a collecting society could require payment of royalties for the public performance of CC-licensed music.,"BACKROUND

In the fall of 2005, a Spanish collecting society, the Sociedad General de Autores y Editores (SGAE), sued a disco bar owner, alleging that he had failed to pay SGAE the license fee required for public performances of music managed by the collecting society during the period between November 2002 and August 2005.

RESULT

The Lower Court rejected SGAE's claims because the bar owner had successfully shown that the music he had been playing in his bar was not managed by the collecting society, but was rather licensed by musicians under CC licenses.

TAKE AWAY

Before this decision, the Spanish courts had ruled in favor of SGAE in similar lawsuits under the assumption that the collecting society managed most if not all of the music.

This case set a new precedent in Spain and showed that courts recognize that not all music performed in public will be managed by a collecting society.

European collecting societies are different from those in the US because they take an assignment of rights from the artists.","A Spanish collecting society, the Sociedad General de Autores y Editores (SGAE), sued a disco bar owner, alleging that he had failed to pay SGAE the license fee required for public performances of music managed by the collecting society during the period between November 2002 and August 2005. The bar owner claimed the music being played in his bar was not managed by the society.","[CC note: This is derived from a submission to Creative Commons, but not verified through an official English translation.]
The collecting society relied on past precedent in Spain, which had ruled in their favor in similar contexts under the assumption that the collecting society effectively managed the rights of all musicians.","In 2006, the court rejected SGAE's claims because the defendant had successfully shown that the music he had been playing in his bar was not managed by the collecting society, but was licensed by musicians under CC licenses.",Creators can choose how to manage their rights and are not obligated to operate under the collecting society regime.,,Publish
