Country,Title,Author (s),Link,License on the Article,License/Elements that is discussing ,Year (date),Categorie/Key Words,Abstract as provided host website,Summary,Journal or Publisher
US,Little Victories: Promoting Aritistics Progress Through the Enforcement of Creative Commons Attribution and Share Alike Licenses,Ashley West,https://ir.law.fsu.edu/cgi/viewcontent.cgi?article=1114&context=lr,,"Attribution, Share-Alike",2008,"Enforcement, Artistic, Photography, Music ",,,Florida State University Law Review 
US,The Creative Commone Licences through moral rights provisions in French law,Alexandra Giannopoulou,https://www.tandfonline.com/doi/full/10.1080/13600869.2013.869923#.VJO-LsCsA,,,2014,"Moral Rights, France, Provisions, Morality, Technology","Since 2002, Creative Commons has been continuously evolving in order to create a licensing scheme that not only fulfils the needs of the author but also stays compatible with already existing national copyright laws. The extent of the respect of moral rights provisions has always been highlighted during the licences’ evolution. This Article first examines whether moral rights are expressly mentioned in the licences and if so, what their treatment is. Each element of the moral rights in the French system will be considered in order to verify their compatibility with the Creative Commons licences. In this context, it will be also asserted whether some existing clauses in the licence contradict with the moral rights of authors. The Article will conclude that although a more flexible interpretation of moral rights provisions is needed when dealing with open content licences, it is essential that Creative Commons addresses the aspects of the licences that are identified as problematic in relation to moral rights. Finally, it will be demonstrated that regardless of the legal status of the licences, the authors' responsibility towards their rights is what will ultimately be the safeguard of their creations' path.",,"International Review of Law, Computers, Technology"
US,ODI,,,,,,,,,
EU,Not for Designers: On the Inadequacides of EU Design Law and How to Fix It ,"Margoni, Thomas,",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2361682,,,2013,"Compatibility, Inadequacies, Intellectual Property, Design law, Copyright law, EU law, open design, 3D printing , Creative Commons,","Design rights represent an interesting example of how the EU legislature has successfully regulated an otherwise heterogeneous field of law. Yet this type of protection is not for all. The tools created by EU intervention have been drafted paying much more attention to the industry sector rather than to designers themselves. In particular, modern, digitally based, individual or small-sized, 3D printing, open designers and their needs are largely neglected by such legislation. The use of printing machinery to manufacture physical objects created digitally thanks to computer programs such as Computer-Aided Design (CAD) software has been in place for quite a few years, and it is actually the standard in many industrial fields, from aeronautics to home furniture. The change in recent years that has the potential to be a paradigm-shifting factor is a combination between the popularization of such technologies (price, size, usability, quality) and the diffusion of a culture based on access to and reuse of knowledge. We will call this blend Open Design. It is probably still too early, however, to say whether 3D printing will be used in the future to refer to a major event in human history, or instead will be relegated to a lonely Wikipedia entry similarly to “Betamax” (copyright scholars are familiar with it for other reasons). It is not too early, however, to develop a legal analysis that will hopefully contribute to clarifying the major issues found in current EU design law structure, why many modern open designers will probably find better protection in copyright, and whether they can successfully rely on open licenses to achieve their goals. With regard to the latter point, we will use Creative Commons (CC) licenses to test our hypothesis due to their unique characteristic to be modular, i.e. to have different license elements (clauses) that licensors can choose in order to adapt the license to their own needs.

",,"Journal of Intellectual Property, Information Technology and E-Commerce Law 4(3)"
EU,"""Creative Commons Licenses Legal Pitfalls: Incompatibilities and Solutions"" ",Melanie Dulong de Rosnay,http://www.creativecommons.nl/downloads/101220cc_incompatibilityfinal.pdf,,,2010,"Compatibility, imcompatibilities, Attribution, Creative Commons, Netherland",,,Institute for Information Law/Creative COmmons Nederland 
US,"""Creative Commons and Related Rights in Sound Recordings: Are the Two Systems Compatible?""",Christina Angelopoulous,http://www.creativecommons.nl/downloads/091201cc_sound_recordings.pdf,,,2009,"Compatability, Sound Recordings, Audio, Creative Commons, Netherland,",,,Insituut voor Informatierecht 
EU,Creative Commons licences and design are the two compatible? ,Catherin Jasserand,http://www.jipitec.eu/issues/jipitec-2-2-2011/3085,,,2011,"Compatability, Design, copyright, derivative works approach, design law, digital bljueprints, open content, right of adaptation, right of reproduction, 3D printing","This article analyses whether Creative Commons licences are applicable to and compatible with design. The first part focuses on the peculiar and complex nature of a design, which can benefit from a copyright and a design protection. This shows how it can affect the use of Creative Commons licences. The second and third parts deal with a specific case study. Some Internet platforms have recently emerged that offer users the possibility to download blueprints of design products in order to build them. Designers and creative users are invited to share their blueprints and creations under Creative Commons licences. The second part of the article assesses whether digital blueprints can be copyrightable and serve as the subject matter of Creative Commons licences, while the last part assesses whether the right to reproduce the digital blueprint, as provided by Creative Commons licences, extends to the right to build the product.",,"kipitec, Vol.2 "
Open licensing and databases,Simone Aliprandi,http://www.ifosslr.org/ifosslr/article/view/62,,,2012,"Database Right, open data, open content, public domain, creative commons, copyright","Data and databases are a complex, nuanced area within intellectual property law.
In the European Union databases have a special legal treatment that provides two levels of protection. A database is protected by copyright in the classical sense when it can be considered an intellectual work with a creative nature. Where databases represent mere collections of data without sufficient creativity to trigger copyright, EU jurisdictions protect the database under sui generis rights when substantial investment has been made in obtaining, verifying, or presenting the database contents according to Directive 96/9/EC.
This system creates a substantial discrepancy between the situation of European countries and the rest of the world, and also affects those databases that have been released under open licenses.
Not all of the currently available open licenses take account of the legal and practical implications of this discrepancy, and we should examine the consequences and options.
The paper aims to provide a high-level analysis on the protection of databases under European law and identify the main legal problems arising from it in an open data scenario. Then it will focus on the solutions tried so far to implement a proper open licensing framework for the database (with an introduction to the licenses offered by Creative Commons and the Open Data Commons project). Finally, some of the most prominent use cases of open licensing for data will be analysed (such as those of geo-data and linked-data), with some observations on the modus operandi of the various promoters of projects.",,
US,Safe to be Open: Study on the Protection of Research Data nad Recommendatiosn for Access and Usage,figure this out somehow,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2391280,,,2013,"Database Rights, Protection, Research Data, open acess, coprygith, sui generis, research data, open content, creative commons",,,Open Aire Plus
NL,Accessing and Licensing Government Data under OPen Access Conditions,Ilaria Buri,http://creativecommons.nl/wp-content/uploads/2012/05/I-buri-Accessing-and-Licensing-Government-Data-under-Open-Access-Conditions.pdf,,,2012,"Database Rights, Government Data, Open Access, Netherlands,",,,Institute for Inforamtion Law; Univerity of Amsterdam
US,Shrinking the Commons: Termination of Copyright Licenses and Transfers for the Benefit of the Public ,Timother K. Armstrong,https://scholarship.law.uc.edu/cgi/viewcontent.cgi?referer=&httpsredir=1&article=1146&context=fac_pubs,,,2007,"Termination, transfer",,,University of Cincinnati College of Law Scholarsip and Publications
US,Building a Reliable Semicommons of Creative Works: Enforcement of Creative Commons Licenses and Limited Abandonment of Copyright,Lydia Loren,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=957939,,,2007,"Termintation, Abandonment, Transfer",,,
EU,https://wiki.creativecommons.org/wiki/Scholarship_and_critique_regarding_Creative_Commons,,,,,,,,,
US,https://wiki.creativecommons.org/wiki/CC-related_legal_scholarship_and_references,,,,,,,,,
